t,theta
0.0000,0.550000
0.0250,0.549443
0.0500,0.547774
0.0750,0.544996
0.1000,0.541114
0.1250,0.536137
0.1500,0.530074
0.1750,0.522938
0.2000,0.514743
0.2250,0.505506
0.2500,0.495246
0.2750,0.483983
0.3000,0.471740
0.3250,0.458542
0.3500,0.444415
0.3750,0.429389
0.4000,0.413493
0.4250,0.396760
0.4500,0.379224
0.4750,0.360920
0.5000,0.341885
0.5250,0.322159
0.5500,0.301779
0.5750,0.280789
0.6000,0.259231
0.6250,0.237147
0.6500,0.214583
0.6750,0.191585
0.7000,0.168199
0.7250,0.144473
0.7500,0.120454
0.7750,0.096191
0.8000,0.071733
0.8250,0.047130
0.8500,0.022432
0.8750,-0.002312
0.9000,-0.027051
0.9250,-0.051735
0.9500,-0.076315
0.9750,-0.100740
1.0000,-0.124961
1.0250,-0.148929
1.0500,-0.172596
1.0750,-0.195913
1.1000,-0.218833
1.1250,-0.241311
1.1500,-0.263300
1.1750,-0.284755
1.2000,-0.305635
1.2250,-0.325895
1.2500,-0.345495
1.2750,-0.364397
1.3000,-0.382560
1.3250,-0.399949
1.3500,-0.416528
1.3750,-0.432263
1.4000,-0.447124
1.4250,-0.461079
1.4500,-0.474100
1.4750,-0.486162
1.5000,-0.497240
1.5250,-0.507310
1.5500,-0.516354
1.5750,-0.524352
1.6000,-0.531289
1.6250,-0.537149
1.6500,-0.541923
1.6750,-0.545599
1.7000,-0.548170
1.7250,-0.549632
1.7500,-0.549981
1.7750,-0.549216
1.8000,-0.547339
1.8250,-0.544354
1.8500,-0.540267
1.8750,-0.535086
1.9000,-0.528822
1.9250,-0.521487
1.9500,-0.513096
1.9750,-0.503667
2.0000,-0.493217
2.0250,-0.481769
2.0500,-0.469346
2.0750,-0.455972
2.1000,-0.441675
2.1250,-0.426484
2.1500,-0.410430
2.1750,-0.393544
2.2000,-0.375862
2.2250,-0.357418
2.2500,-0.338251
2.2750,-0.318399
2.3000,-0.297903
2.3250,-0.276803
2.3500,-0.255143
2.3750,-0.232967
2.4000,-0.210318
2.4250,-0.187244
2.4500,-0.163791
2.4750,-0.140006
2.5000,-0.115938
2.5250,-0.091635
2.5500,-0.067146
2.5750,-0.042521
2.6000,-0.017811
2.6250,0.006936
2.6500,0.031669
2.6750,0.056337
2.7000,0.080892
2.7250,0.105282
2.7500,0.129460
2.7750,0.153375
2.8000,0.176980
2.8250,0.200227
2.8500,0.223068
2.8750,0.245457
2.9000,0.267350
2.9250,0.288701
2.9500,0.309468
2.9750,0.329608
3.0000,0.349081
3.0250,0.367847
3.0500,0.385868
3.0750,0.403109
3.1000,0.419532
3.1250,0.435107
3.1500,0.449801
3.1750,0.463583
3.2000,0.476428
3.2250,0.488307
3.2500,0.499198
3.2750,0.509079
3.3000,0.517928
3.3250,0.525729
3.3500,0.532466
3.3750,0.538124
3.4000,0.542693
3.4250,0.546163
3.4500,0.548528
3.4750,0.549782
3.5000,0.549922
3.5250,0.548950
3.5500,0.546865
3.5750,0.543674
3.6000,0.539382
3.6250,0.533998
3.6500,0.527532
3.6750,0.519999
3.7000,0.511413
3.7250,0.501791
3.7500,0.491153
3.7750,0.479521
3.8000,0.466919
3.8250,0.453370
3.8500,0.438904
3.8750,0.423549
3.9000,0.407337
3.9250,0.390300
3.9500,0.372473
3.9750,0.353891
4.0000,0.334593
4.0250,0.314618
4.0500,0.294005
4.0750,0.272798
4.1000,0.251038
4.1250,0.228770
4.1500,0.206038
4.1750,0.182890
4.2000,0.159371
4.2250,0.135529
4.2500,0.111414
4.2750,0.087072
4.3000,0.062554
4.3250,0.037910
4.3500,0.013189
4.3750,-0.011559
4.4000,-0.036284
4.4250,-0.060935
4.4500,-0.085462
4.4750,-0.109817
4.5000,-0.133949
4.5250,-0.157810
4.5500,-0.181352
4.5750,-0.204526
4.6000,-0.227287
4.6250,-0.249587
4.6500,-0.271381
4.6750,-0.292627
4.7000,-0.313280
4.7250,-0.333298
4.7500,-0.352642
4.7750,-0.371272
4.8000,-0.389150
4.8250,-0.406240
4.8500,-0.422508
4.8750,-0.437920
4.9000,-0.452446
4.9250,-0.466055
4.9500,-0.478721
4.9750,-0.490418
5.0000,-0.501122
5.0250,-0.510811
5.0500,-0.519466
5.0750,-0.527069
5.1000,-0.533605
5.1250,-0.539061
5.1500,-0.543425
5.1750,-0.546689
5.2000,-0.548846
5.2250,-0.549892
5.2500,-0.549825
5.2750,-0.548644
5.3000,-0.546353
5.3250,-0.542956
5.3500,-0.538459
5.3750,-0.532872
5.4000,-0.526206
5.4250,-0.518474
5.4500,-0.509693
5.4750,-0.499880
5.5000,-0.489055
5.5250,-0.477240
5.5500,-0.464458
5.5750,-0.450736
5.6000,-0.436102
5.6250,-0.420585
5.6500,-0.404216
5.6750,-0.387028
5.7000,-0.369057
5.7250,-0.350339
5.7500,-0.330911
5.7750,-0.310814
5.8000,-0.290087
5.8250,-0.268773
5.8500,-0.246915
5.8750,-0.224557
5.9000,-0.201744
5.9250,-0.178522
5.9500,-0.154940
5.9750,-0.131043
6.0000,-0.106881
