x,sinx,cosx
-3.141593,-0.000000,-1.000000
-3.124139,-0.017452,-0.999848
-3.106686,-0.034899,-0.999391
-3.089233,-0.052336,-0.998630
-3.071779,-0.069756,-0.997564
-3.054326,-0.087156,-0.996195
-3.036873,-0.104528,-0.994522
-3.019420,-0.121869,-0.992546
-3.001966,-0.139173,-0.990268
-2.984513,-0.156434,-0.987688
-2.967060,-0.173648,-0.984808
-2.949606,-0.190809,-0.981627
-2.932153,-0.207912,-0.978148
-2.914700,-0.224951,-0.974370
-2.897247,-0.241922,-0.970296
-2.879793,-0.258819,-0.965926
-2.862340,-0.275637,-0.961262
-2.844887,-0.292372,-0.956305
-2.827433,-0.309017,-0.951057
-2.809980,-0.325568,-0.945519
-2.792527,-0.342020,-0.939693
-2.775074,-0.358368,-0.933580
-2.757620,-0.374607,-0.927184
-2.740167,-0.390731,-0.920505
-2.722714,-0.406737,-0.913545
-2.705260,-0.422618,-0.906308
-2.687807,-0.438371,-0.898794
-2.670354,-0.453990,-0.891007
-2.652900,-0.469472,-0.882948
-2.635447,-0.484810,-0.874620
-2.617994,-0.500000,-0.866025
-2.600541,-0.515038,-0.857167
-2.583087,-0.529919,-0.848048
-2.565634,-0.544639,-0.838671
-2.548181,-0.559193,-0.829038
-2.530727,-0.573576,-0.819152
-2.513274,-0.587785,-0.809017
-2.495821,-0.601815,-0.798636
-2.478368,-0.615661,-0.788011
-2.460914,-0.629320,-0.777146
-2.443461,-0.642788,-0.766044
-2.426008,-0.656059,-0.754710
-2.408554,-0.669131,-0.743145
-2.391101,-0.681998,-0.731354
-2.373648,-0.694658,-0.719340
-2.356194,-0.707107,-0.707107
-2.338741,-0.719340,-0.694658
-2.321288,-0.731354,-0.681998
-2.303835,-0.743145,-0.669131
-2.286381,-0.754710,-0.656059
-2.268928,-0.766044,-0.642788
-2.251475,-0.777146,-0.629320
-2.234021,-0.788011,-0.615661
-2.216568,-0.798636,-0.601815
-2.199115,-0.809017,-0.587785
-2.181662,-0.819152,-0.573576
-2.164208,-0.829038,-0.559193
-2.146755,-0.838671,-0.544639
-2.129302,-0.848048,-0.529919
-2.111848,-0.857167,-0.515038
